name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount
NM_001409	chr1	-	3394365	3517919	3396951	3517692	37
NM_182752	chr1	+	3531415	3536554	3531496	3535027	5
NM_017818	chr1	-	3537198	3556497	3537398	3556423	12
NM_005427	chr1	+	3558988	3640327	3588789	3639503	14
NM_001126240	chr1	+	3597095	3640327	3597329	3639503	12
NM_001126241	chr1	+	3597095	3640327	3597329	3639186	11
NM_001126242	chr1	+	3597095	3640327	3597329	3637979	11
NM_207306	chr1	-	3642407	3653746	3649605	3652627	4
NM_152492	chr1	+	3658824	3678069	3658905	3677947	12
NR_024432	chr1	+	3679211	3682379	3682379	3682379	4
NM_020710	chr1	-	3686643	3702928	3687511	3702900	7
NM_014704	chr1	-	3721203	3763657	3721825	3758831	22
NM_004402	chr1	+	3763704	3791853	3764027	3790165	7
NM_207356	chr1	-	3795556	3806709	3796383	3806610	4
NR_024455	chr1	+	3806827	3821869	3821869	3821869	4
NM_018836	chr1	+	4614964	4743711	4615345	4734419	6
NM_001042478	chr1	+	4614964	4737714	4615345	4734419	6
NM_015102	chr1	-	5845456	5975118	5845911	5968936	30
NM_003636	chr1	+	6008966	6083110	6023215	6081221	16
NM_172130	chr1	+	6008966	6083110	6023215	6081221	15
NM_015557	chr1	-	6084439	6162770	6088926	6162670	42
NM_000983	chr1	-	6167666	6182266	6169318	6182220	4
NM_207396	chr1	+	6188775	6203946	6189182	6202054	18
NM_012405	chr1	-	6203839	6218631	6207726	6218558	5
NM_001024598	chr1	+	6226848	6228225	6227012	6228154	4
NM_207370	chr1	-	6231442	6243622	6231984	6237552	6
NM_007274	chr1	-	6246918	6376413	6247243	6376046	9
NM_181865	chr1	-	6246918	6343351	6247243	6343299	9
NM_181864	chr1	-	6246918	6368470	6247243	6368313	9
NM_181866	chr1	-	6246918	6341591	6247243	6341492	9
NM_019089	chr1	-	6397882	6402566	6401519	6402467	4
NM_031475	chr1	+	6407434	6443591	6407602	6442793	13
NM_003790	chr1	-	6443800	6448842	6444080	6448754	10
NM_148970	chr1	-	6443800	6448842	6444080	6448754	5
NM_148965	chr1	-	6443800	6448842	6444080	6448754	10
NM_148966	chr1	-	6443800	6448842	6444080	6448754	9
NM_148967	chr1	-	6443800	6448842	6444080	6448754	9
NM_001039664	chr1	-	6446757	6448842	6447017	6448754	5
NM_001042665	chr1	-	6448738	6468601	6450209	6460218	21
NM_001042664	chr1	-	6448738	6473227	6450209	6460218	21
NM_001042663	chr1	-	6448738	6480071	6450209	6479970	22
NM_198681	chr1	-	6448738	6502656	6450209	6502158	22
NM_020631	chr1	-	6448738	6474347	6450209	6460218	21
NM_024654	chr1	-	6507794	6537168	6508500	6537149	12
NM_138697	chr1	+	6538020	6562404	6538020	6562231	6
NM_177539	chr1	+	6538020	6562404	6538020	6561482	4
NM_177540	chr1	+	6538020	6562404	6538020	6562231	5
NM_177541	chr1	+	6538020	6562404	6538020	6562085	5
NM_005341	chr1	+	6562649	6571927	6563256	6571859	11
NM_014851	chr1	-	6573370	6585516	6576011	6585464	4
NM_153812	chr1	+	6596342	6606680	6596713	6604284	4
NM_138350	chr1	+	6607838	6618232	6607865	6616735	5
NM_018198	chr1	-	6616815	6684553	6618321	6684447	16
NM_015215	chr1	+	6767970	7752351	6768177	7749138	23
NM_004781	chr1	+	7753915	7764079	7754030	7762292	5
NM_016831	chr1	+	7767349	7827824	7767524	7825402	21
NM_021995	chr1	-	7830259	7836138	7830412	7836078	5
NM_006786	chr1	-	7830259	7835691	7830412	7835650	4
NM_001561	chr1	-	7902493	7923474	7903481	7922641	8
NM_007262	chr1	+	7944300	7967929	7945432	7967701	7
NM_001123377	chr1	+	7944300	7967929	7945432	7967701	7
NM_018948	chr1	-	7994366	8008980	7995856	7998266	4
NM_001080397	chr1	+	8306976	8326814	8306976	8326660	8
NM_012102	chr1	-	8335050	8800286	8337733	8638943	24
NM_001042681	chr1	-	8335050	8800286	8337733	8638943	23
NM_001042682	chr1	-	8335050	8406334	8337733	8346780	13
NM_001428	chr1	-	8843649	8861367	8844005	8857554	12
NM_001215	chr1	+	8928508	8957735	8928532	8957350	8
NM_207420	chr1	-	8985945	9008991	8985945	9008991	12
NM_003039	chr1	-	9019593	9052474	9020231	9052182	12
NR_024180	chr1	-	9019593	9071097	9071097	9071097	14
NM_001135585	chr1	-	9024014	9052474	9024266	9052182	5
NM_024980	chr1	-	9087062	9111816	9087064	9111673	4
NM_004285	chr1	+	9217449	9253981	9227580	9247515	5
NM_025106	chr1	+	9275527	9352175	9338537	9350221	3
NM_032315	chr1	+	9522114	9565418	9522337	9565146	7
NM_001010866	chr1	+	9571563	9587593	9571575	9584936	6
NM_001130924	chr1	+	9571563	9597522	9571575	9595728	10
NM_005026	chr1	+	9634376	9711759	9693100	9709691	24
NM_001009566	chr1	-	9711665	9807137	9713152	9806378	19
NM_014944	chr1	-	9711665	9807137	9713152	9806378	18
NM_001012329	chr1	-	9830920	9892903	9833362	9854709	5
NM_020248	chr1	-	9830920	9892903	9833362	9854709	6
NM_032368	chr1	-	9912362	9925413	9913043	9919264	7
NM_022787	chr1	+	9926072	9968143	9954718	9965346	5
NM_052960	chr1	+	9979841	9998664	9979903	9998477	4
NM_006048	chr1	+	10015602	10163883	10016315	10162601	27
NM_001105562	chr1	+	10015602	10163883	10016315	10162601	28
NM_015074	chr1	+	10193350	10364248	10214973	10359232	47
NM_183416	chr1	+	10193350	10291242	10214973	10287292	21
NM_002631	chr1	+	10381671	10402788	10381761	10402393	13
NM_199294	chr1	+	10412745	10425452	10413161	10425049	5
NM_198544	chr1	+	10412745	10434797	10413161	10434239	5
NM_199295	chr1	+	10413386	10425452	10416551	10425049	5
NM_001302	chr1	+	10432557	10434546	10432717	10434239	2
NM_004401	chr1	-	10443189	10455200	10444133	10455102	6
NM_213566	chr1	-	10443189	10455200	10445677	10455102	5
NM_004565	chr1	+	10457589	10613405	10457610	10612631	9
NM_001079843	chr1	-	10619252	10779294	10621585	10676533	21
NM_017766	chr1	-	10629856	10779294	10630440	10676533	16
NM_173507	chr1	-	10929119	10946845	10930306	10946840	8
NM_007375	chr1	+	10995265	11008136	10996371	11005298	6
NM_006610	chr1	-	11009166	11029872	11009528	11029851	11
NM_139208	chr1	-	11027441	11029872	11027583	11029851	5
NM_003132	chr1	-	11037235	11042678	11037508	11042587	8
NM_001001998	chr1	-	11049262	11082525	11049361	11082475	25
NM_002685	chr1	-	11049262	11082525	11049361	11082475	24
NM_004958	chr1	-	11089175	11245195	11090128	11242053	58
NM_021146	chr1	+	11171984	11178625	11172223	11177667	5
NM_013319	chr1	+	11255841	11271077	11256175	11268775	2
NM_020780	chr1	+	11461881	11520227	11483636	11519330	21
NM_012168	chr1	-	11631034	11637326	11631337	11636984	6
NM_183412	chr1	+	11637018	11645971	11638479	11643949	5
NM_001014765	chr1	+	11637500	11645971	11638479	11643917	7
NM_033182	chr1	+	11637500	11645971	11638479	11643917	6
NM_183413	chr1	+	11637500	11645971	11638479	11643949	5
NM_018438	chr1	+	11646736	11656994	11651302	11656495	6
NM_006341	chr1	-	11657123	11663858	11657418	11663245	9
NM_001127325	chr1	-	11657123	11674265	11657418	11663245	9
NM_198545	chr1	+	11674367	11702923	11688902	11702340	7
NM_001040197	chr1	+	11718728	11733415	11718852	11731237	6
NM_001040194	chr1	+	11718728	11733415	11718852	11732836	5
NM_001040195	chr1	+	11718728	11733415	11718852	11732748	4
NM_001040196	chr1	+	11718728	11733415	11718852	11732748	6
NM_020350	chr1	+	11718728	11733415	11718852	11732836	5
NM_005957	chr1	-	11768373	11788702	11773323	11785760	12
NM_021736	chr1	+	11788793	11811947	11788906	11811947	12
NM_021735	chr1	+	11788793	11810862	11788906	11810862	11
NM_001286	chr1	+	11788793	11825788	11788906	11822867	23
NM_021737	chr1	+	11788793	11810862	11788906	11810862	11
NM_006172	chr1	-	11828362	11830422	11828652	11830328	3
NM_002521	chr1	-	11840107	11841579	11840298	11841477	3
NM_138346	chr1	-	11902709	11909067	11902958	11908881	3
NM_000302	chr1	+	11917332	11958181	11917423	11957452	19
NM_001127660	chr1	+	11962824	11996159	11971812	11994209	18
NM_014874	chr1	+	11962824	11996159	11971812	11994209	19
NM_021933	chr1	+	12002098	12014693	12004370	12014452	10
NM_001243	chr1	+	12046020	12126851	12046242	12125175	15
NM_152942	chr1	+	12108544	12126851	12120926	12125175	5
NM_001066	chr1	+	12149646	12191864	12149735	12189664	10
NM_015378	chr1	+	12212699	12494685	12216910	12491665	70
NM_018156	chr1	+	12212699	12494685	12216910	12491665	69
NR_003022	chr1	+	12489886	12490038	12490038	12490038	1
NR_003025	chr1	+	12489886	12490038	12490038	12490038	1
NM_004753	chr1	-	12550525	12600407	12550955	12599940	6
NM_001013630	chr1	+	12627152	12649684	12627152	12649333	4
NM_001103169	chr1	+	12698704	12711313	12698930	12708550	3
NM_001103170	chr1	+	12698704	12711313	12702066	12708550	4
NM_152290	chr1	+	12728749	12743689	12728965	12743471	4
NM_001080830	chr1	+	12757570	12760635	12757597	12760329	3
NM_023013	chr1	+	12774132	12778810	12775963	12778732	4
NM_001013631	chr1	-	12829847	12831165	12829847	12830729	2
NM_023014	chr1	+	12839527	12844351	12841451	12844221	4
NM_001009611	chr1	-	12861619	12868612	12861951	12865802	4
NM_001039361	chr1	-	12875313	12880681	12875333	12878265	4
NM_001012276	chr1	+	12899036	12903155	12900099	12902820	4
NM_001012277	chr1	+	12900099	12902820	12900099	12902820	3
NM_001010889	chr1	-	12920888	12929993	12921091	12924935	4
NM_001100631	chr1	+	12958129	12960968	12958129	12960968	3
NM_001013407	chr1	-	13031100	13040338	13031424	13035267	4
NM_001136561	chr1	-	13105547	13106554	13105577	13106459	1
NM_001013692	chr1	-	13200782	13204279	13201419	13204258	3
NM_001100631	chr1	-	13201419	13204258	13201419	13204258	3
NM_001013407	chr1	+	13232405	13241644	13237477	13241320	4
NM_001010889	chr1	+	13232419	13241523	13237477	13241320	4
NM_001012276	chr1	-	13259233	13263352	13259568	13262289	4
NM_001098376	chr1	+	13293762	13300777	13296589	13300446	4
NM_001010890	chr1	+	13293762	13300778	13296589	13300446	4
NM_001099854	chr1	-	13320000	13325243	13320636	13323423	4
NM_001099790	chr1	-	13346639	13350156	13347275	13350109	3
NM_001099850	chr1	-	13346639	13350156	13347275	13350109	3
NM_001045480	chr1	+	13367840	13370846	13367870	13370715	3
NM_001099852	chr1	+	13388652	13399530	13394559	13399460	4
NM_001100114	chr1	+	13394549	13399530	13394559	13399460	3
NM_001012276	chr1	-	13480018	13484137	13480353	13483074	4
NM_001012277	chr1	-	13480353	13483074	13480353	13483074	3
NM_001098376	chr1	+	13514559	13521574	13517386	13521243	4
NM_001010890	chr1	+	13514559	13521575	13517386	13521243	4
NM_001024661	chr1	-	13540855	13546098	13541491	13544278	4
NM_001099854	chr1	-	13540855	13546098	13541491	13544278	4
NM_001099790	chr1	-	13567475	13570992	13568111	13570945	3
NM_001099850	chr1	-	13567475	13570992	13568111	13570945	3
NM_001099851	chr1	+	13588674	13591651	13588704	13591549	3
NM_001099852	chr1	+	13609493	13620390	13615398	13620320	4
NM_001100114	chr1	+	13615388	13620390	13615398	13620320	3
NM_006474	chr1	+	13782838	13817039	13782887	13814993	6
NM_198389	chr1	+	13782838	13817039	13782887	13814993	6
NM_001006625	chr1	+	13784553	13817039	13806313	13814993	6
NM_001006624	chr1	+	13784553	13817039	13806313	13814993	6
NM_001135610	chr1	+	13899321	14024159	13914687	14022266	8
NM_015866	chr1	+	13903936	13987160	13914687	13985609	9
NM_012231	chr1	+	13903936	14024159	13914687	14015629	10
NM_001007257	chr1	+	13948462	13987160	13972251	13985609	4
NM_015209	chr1	+	14797799	15267238	14798080	15264880	8
NM_201628	chr1	+	14797799	15317131	14798080	15313718	15
NM_001018000	chr1	+	15123211	15267238	15123447	15264880	8
NM_001018001	chr1	+	15128882	15267238	15159822	15264880	8
NM_001017999	chr1	+	15145001	15267238	15159822	15264880	8
NM_001136216	chr1	+	15351614	15419560	15414170	15418826	4
NM_001136217	chr1	+	15351614	15419560	15414170	15418826	3
NM_018022	chr1	+	15352815	15419560	15414170	15418826	3
NM_001136218	chr1	+	15352815	15419560	15414170	15418826	4
NM_052929	chr1	+	15446354	15597209	15450867	15596496	31
NM_024329	chr1	+	15609027	15629422	15609054	15627807	4
NM_007272	chr1	+	15637524	15645740	15637547	15645671	8
NM_033440	chr1	+	15655810	15671169	15655835	15671089	8
NM_015849	chr1	+	15675182	15690482	15675207	15690394	8
NM_001229	chr1	-	15691381	15723377	15692024	15723282	9
NM_032996	chr1	-	15691381	15723377	15692024	15723282	5
NM_015291	chr1	+	15725938	15770815	15728187	15767259	15
NM_024758	chr1	-	15771738	15784192	15772732	15784049	7
NM_032341	chr1	+	15816656	15859335	15816752	15855715	10
NM_006511	chr1	+	15858950	15860804	15858950	15860804	1
NM_015164	chr1	+	15880612	15933851	15880612	15933016	21
NM_207348	chr1	+	15935395	15940471	15935567	15938488	5
NM_001013641	chr1	+	15941503	15947064	15941641	15946714	6
NM_017556	chr1	+	15957841	15985671	15964065	15983743	9
NM_001024215	chr1	+	15963580	15974302	15964065	15974113	6
NM_001024216	chr1	+	15964045	15985671	15964065	15983743	5
NM_001089591	chr1	-	16006243	16006781	16006455	16006731	1
NR_024279	chr1	-	16033296	16047229	16047229	16047229	2
NM_015001	chr1	+	16046945	16139537	16047149	16138509	15
NM_003443	chr1	-	16140950	16175214	16141050	16147577	16
NM_178840	chr1	+	16203317	16205771	16203385	16205428	2
NM_014424	chr1	-	16213109	16217872	16214661	16217045	3
NM_004070	chr1	+	16221072	16233132	16221701	16232740	20
NM_001042704	chr1	+	16221072	16233132	16221701	16232740	20
NM_000085	chr1	+	16242833	16256390	16243574	16255998	20
NM_182623	chr1	-	16256850	16272714	16257518	16272524	7
NM_004431	chr1	-	16323418	16355151	16324296	16355014	17
NM_153213	chr1	-	16397185	16411691	16397668	16408136	16
NM_030907	chr1	-	16430781	16436033	16431129	16435824	5
NM_018994	chr1	-	16449145	16551535	16449751	16514500	10
NM_015609	chr1	+	16566169	16597227	16566346	16594222	3
NM_001114600	chr1	+	16566169	16597227	16566339	16594222	4
NM_198546	chr1	-	16597724	16636506	16597846	16630453	13
NM_018090	chr1	+	16639819	16659160	16639843	16657972	8
NR_023386	chr1	-	16666517	16691783	16691783	16691783	15
NM_017940	chr1	-	16762998	16812569	16763024	16791103	29
NM_001039703	chr1	-	16762998	16791276	16763024	16784745	19
NR_026567	chr1	-	16890299	16919239	16919239	16919239	11
NR_002729	chr1	-	16953988	16963562	16963562	16963562	15
NM_014675	chr1	+	17121031	17172061	17121100	17171528	37
NM_017459	chr1	-	17173585	17180668	17174001	17177355	9
NM_002403	chr1	-	17173585	17179760	17174001	17177355	9
NM_001135247	chr1	-	17173585	17180668	17174001	17177355	9
NM_001135248	chr1	-	17173585	17179760	17174001	17177355	9
NM_001141973	chr1	-	17185039	17211010	17185302	17210820	29
NM_001141974	chr1	-	17185039	17211010	17185066	17210820	27
NM_022089	chr1	-	17185039	17211010	17185302	17210820	29
NM_003000	chr1	-	17217811	17253252	17217962	17253101	8
NM_007365	chr1	-	17265842	17318535	17268125	17318453	16
NM_013358	chr1	+	17404207	17445088	17404299	17443325	16
NM_016233	chr1	+	17448179	17483314	17448219	17482161	16
NM_012387	chr1	+	17507276	17563082	17507304	17562837	16
NM_207421	chr1	+	17571327	17600782	17571327	17600521	16
NM_001136204	chr1	-	17605838	17637644	17608172	17637597	12
NM_018715	chr1	-	17605838	17638807	17608172	17637597	13
NM_018125	chr1	+	17738916	17896957	17779677	17896462	29
NM_001011722	chr1	+	17779634	17896957	17779677	17896462	27
NM_030812	chr1	+	17954430	18026145	18022090	18025601	3
NM_032880	chr1	+	18306826	18577563	18307209	18577407	10
NM_152375	chr1	+	18680010	18685067	18680062	18682396	1
NM_001135254	chr1	+	18830086	18947946	18830684	18944010	9
NM_002584	chr1	+	18830086	18935218	18830684	18935120	8
NM_013945	chr1	+	18830086	18935218	18830684	18935120	8
NM_152232	chr1	-	19038679	19058742	19038679	19058741	6
NM_170726	chr1	-	19070512	19101659	19071925	19101604	16
NM_003748	chr1	-	19070512	19101659	19071925	19101604	15
NM_001136265	chr1	-	19103361	19155413	19107641	19155413	9
NM_020765	chr1	-	19273586	19409333	19273912	19409329	106
NM_015047	chr1	-	19417170	19450633	19418383	19450590	23
NM_016183	chr1	+	19450661	19459209	19450916	19457911	8
NM_001143884	chr1	-	19465064	19473022	19466380	19472963	7
NM_201252	chr1	-	19465064	19473022	19466429	19472963	5
NM_012067	chr1	-	19481643	19487867	19481811	19487790	7
NM_003689	chr1	-	19503048	19511227	19503305	19511205	7
NM_001040125	chr1	+	19511326	19528381	19516758	19527724	8
NM_001040126	chr1	+	19511326	19528381	19523744	19527724	8
NM_017765	chr1	+	19511326	19528381	19516758	19527724	9
NM_004930	chr1	-	19537859	19684579	19538610	19684519	9
NM_001032363	chr1	+	19796053	19827761	19796126	19825482	4
NM_182744	chr1	+	19842312	19857532	19842392	19856209	4
NM_005380	chr1	+	19843394	19857532	19854113	19856209	4
NM_000871	chr1	+	19864366	19878642	19864833	19878448	3
NM_181719	chr1	-	19881292	19998997	19882119	19979838	16
NM_019062	chr1	-	20013108	20014358	20013497	20014181	1
NM_015207	chr1	+	20081474	20112024	20081593	20106826	8
NM_014589	chr1	-	20119386	20122697	20119386	20122639	4
NM_000300	chr1	-	20174517	20179496	20174780	20177853	6
NM_000929	chr1	+	20269287	20290981	20283910	20289772	5
NM_012400	chr1	-	20311020	20318595	20313193	20318578	4
NM_022819	chr1	+	20338409	20349466	20338507	20347481	5
NM_001105572	chr1	-	20363070	20374274	20363070	20374274	3
NM_152376	chr1	+	20385164	20392529	20389641	20390484	2
NM_001039500	chr1	+	20489998	20553974	20509681	20553343	22
NM_018584	chr1	-	20681470	20685315	20682728	20684459	2
NM_024544	chr1	-	20698527	20707261	20699769	20707104	4
NM_207334	chr1	+	20751518	20754099	20752053	20753043	1
NM_001785	chr1	+	20788030	20817987	20788209	20817648	4
NM_032409	chr1	+	20832534	20850591	20832628	20849771	8
NM_005216	chr1	-	20850846	20860624	20851458	20860481	11
NM_020816	chr1	-	20863093	20916904	20863663	20916786	15
NM_001122819	chr1	-	20863093	20916904	20863663	20916786	15
NM_001103161	chr1	-	20918811	20931720	20920871	20927124	10
NM_001103160	chr1	-	20918811	20931720	20920871	20925137	9
NM_016287	chr1	-	20941757	20985768	20943876	20979520	13
NM_003760	chr1	-	21005560	21375927	21006398	21201822	34
NM_001113348	chr1	-	21416326	21544621	21419034	21544458	19
NM_001113347	chr1	-	21416326	21478770	21419034	21478514	17
NM_001397	chr1	-	21416326	21489569	21419034	21489494	19
NM_001113349	chr1	-	21416326	21489353	21419034	21489278	18
NM_032264	chr1	+	21639217	21683980	21644166	21682466	15
NM_000478	chr1	+	21708444	21777492	21753161	21776728	12
NM_001127501	chr1	+	21750393	21777492	21753161	21776728	12
NM_002885	chr1	-	21795301	21868386	21796799	21819112	25
NM_032236	chr1	-	21877378	21982275	21878496	21982037	27
NM_001032730	chr1	-	21926925	21982275	21927641	21982037	11
NM_001013693	chr1	+	22011344	22024301	22011531	22021295	5
NM_005529	chr1	-	22021323	22136337	22022395	22136297	97
NM_007352	chr1	+	22176004	22188434	22176119	22188359	8
NM_005747	chr1	+	22200735	22211622	22200754	22211547	8
NR_023918	chr1	+	22224293	22230302	22230302	22230302	2
NR_023919	chr1	+	22224628	22230302	22230302	22230302	2
NM_001791	chr1	+	22251706	22292023	22277558	22290597	6
NM_044472	chr1	+	22251706	22289883	22277558	22289112	6
NM_001039802	chr1	+	22251706	22292023	22277558	22290597	7
NM_030761	chr1	-	22316384	22342106	22319129	22342002	5
NM_014870	chr1	+	22650930	22730237	22689028	22725476	18
NM_001083621	chr1	+	22650930	22730237	22689028	22725476	19
NM_020526	chr1	+	22762590	22802674	22762715	22800821	17
NM_001006943	chr1	+	22762590	22788699	22762715	22788459	5
NM_015991	chr1	+	22835704	22838762	22836696	22838487	3
NM_001114101	chr1	+	22842704	22847190	22843103	22846863	3
NM_172369	chr1	+	22842704	22847190	22843103	22846863	3
NM_000491	chr1	+	22852268	22860616	22858536	22860466	3
NM_017449	chr1	+	22909917	23114410	22910062	23112650	16
NM_004442	chr1	+	22909917	23114410	22910062	23112650	16
NM_015013	chr1	+	23218532	23282771	23218676	23282444	19
NM_033631	chr1	-	23283102	23367938	23287974	23293341	5
NM_001142546	chr1	-	23283102	23367938	23287974	23293341	4
NM_000864	chr1	-	23390974	23393809	23392165	23393299	1
NM_001102399	chr1	-	23508862	23543440	23509533	23536914	10
NM_005826	chr1	-	23508862	23543440	23509533	23540088	11
NM_001102398	chr1	-	23508862	23543440	23509533	23540088	11
NM_001102397	chr1	-	23508862	23543440	23509533	23536914	10
NM_001077195	chr1	-	23558527	23568944	23561048	23567085	4
NM_030634	chr1	-	23558527	23567466	23561048	23567085	3
NM_001008896	chr1	+	23568050	23570866	23568377	23570602	3
NM_138479	chr1	+	23568050	23570866	23568377	23568758	1
NM_003196	chr1	-	23580141	23623848	23580545	23623713	11
NM_017707	chr1	-	23627642	23683258	23628935	23683213	25
NM_004091	chr1	-	23705508	23730300	23708958	23729872	7
NM_002167	chr1	-	23756995	23758909	23758037	23758504	3
NM_000975	chr1	+	23890880	23895502	23890900	23895450	6
NM_003198	chr1	+	23942442	23961135	23942502	23958650	11
NM_020362	chr1	+	23977462	23987307	23977592	23986453	6
NM_007260	chr1	+	23990232	23994616	23991759	23993809	10
NM_000403	chr1	-	23994675	23999621	23995025	23998084	12
NM_001127621	chr1	-	23994675	23998647	23995025	23998084	11
NM_001008216	chr1	-	23994675	23999881	23995025	23998084	12
NM_000191	chr1	-	24000953	24024536	24001539	24024492	9
