chr	height	start	end	numtags	max_ht_offset
10	23	12802161	12803277	50	379
10	13	12887649	12887848	14	52
10	12	13087723	13087909	13	39
10	11	13225674	13226294	19	473
10	33	13228197	13229620	96	262
10	18	13243093	13244471	53	171
10	11	13381018	13382246	30	703
10	13	13453711	13454367	19	292
10	29	13668554	13669181	43	347
10	15	13696817	13697515	26	175
10	19	13947952	13948810	34	443
10	12	14680879	14681432	15	278
10	16	14735471	14736949	50	474
10	12	14794570	14795910	45	598
10	21	14824233	14825307	44	651
10	26	14829834	14831431	69	1442
10	18	14864541	14865518	48	345
10	11	14901337	14902576	35	714
10	11	14904782	14905583	21	596
10	19	14919192	14920653	54	1043
10	35	15035124	15036816	106	993
10	14	15041045	15042246	52	650
10	15	15178827	15179867	33	327
10	11	15188326	15188815	16	244
10	13	15938013	15939633	65	553
10	11	15942160	15942613	14	306
10	24	16281028	16281811	43	258
10	12	16462793	16463455	24	450
10	16	16898371	16900478	63	1412
10	51	17111470	17112021	66	231
10	15	17197714	17198258	27	134
10	14	17202768	17203376	24	169
10	11	17281007	17282259	35	592
10	16	17282660	17283967	50	1020
10	18	17298082	17299112	32	324
10	97	17308986	17311481	213	1500
10	14	17311598	17312984	42	944
10	13	17316848	17317459	25	332
10	11	17339735	17340027	12	145
10	19	17430514	17431413	35	441
10	17	17609207	17610326	36	513
10	11	17689481	17689885	17	257
10	11	17725439	17726667	48	846
10	13	17737225	17738148	39	511
10	19	17747430	17748430	34	491
10	25	18312737	18313701	53	221
10	15	18318760	18319603	26	696
10	18	18322081	18322916	44	433
10	30	18334269	18335113	75	367
10	22	18338600	18339645	33	516
10	18	18350884	18351781	42	335
10	25	18373676	18374950	61	837
10	36	18409337	18410173	53	470
10	117	18486408	18489209	264	2373
10	15	18492959	18494127	30	242
10	11	18545341	18545792	16	213
10	11	18987775	18988513	25	278
10	11	19042083	19042497	15	134
10	17	19296934	19297536	25	292
10	21	21213962	21215284	60	734
10	12	21219376	21220685	42	1014
10	12	21322080	21323528	54	355
10	35	21330590	21331537	65	556
10	13	21373232	21373993	24	176
10	23	21523281	21524672	60	521
10	13	21586527	21587328	28	456
10	12	21598674	21599188	18	327
10	11	21607691	21608076	15	201
10	15	21620746	21622866	57	386
10	14	21663852	21664382	25	237
10	37	21692689	21694258	87	1211
10	11	21701348	21702309	28	762
10	14	21824441	21825074	29	328
10	12	21850983	21851344	15	80
10	20	21862179	21863495	55	608
10	50	21903235	21904058	86	378
10	15	22053464	22054024	22	331
10	14	22257482	22258597	30	628
10	15	22345636	22346872	41	461
10	14	22558134	22558832	33	280
10	15	22668826	22669870	40	321
10	11	22756760	22758838	59	529
10	22	22762742	22763292	33	237
10	11	22946769	22947825	35	304
10	32	22949087	22950223	90	676
10	34	23019351	23020213	49	393
10	18	23040873	23041456	33	415
10	34	23087796	23087944	35	1
10	33	23145206	23145661	40	229
10	11	23317569	23318388	24	393
10	62	23345216	23346117	96	454
10	104	23376153	23377410	177	620
10	81	23380569	23382807	229	630
10	16	23396741	23397496	28	485
10	12	23417097	23417818	22	525
10	35	23424740	23426522	132	433
10	13	23643248	23644237	27	693
10	18	23653016	23653782	32	354
10	44	23660539	23661291	77	508
10	15	23661689	23662495	28	600
10	251	23666623	23668288	381	881
10	23	23674619	23675230	29	299
10	20	23680716	23681210	28	326
10	18	23741157	23741761	27	121
10	12	23749871	23750649	26	274
10	35	23750874	23751341	54	258
10	19	23761535	23762152	40	228
10	14	23803515	23804265	27	175
10	12	23840920	23842038	28	525
10	11	24525416	24525693	12	130
10	17	24712610	24713050	23	132
10	15	24812426	24813112	26	434
10	12	24971850	24972585	19	127
10	12	25045015	25045647	22	304
10	21	25143561	25144232	33	441
10	12	25149093	25150047	36	730
10	15	25150795	25151571	23	302
10	15	25178386	25179046	31	342
10	17	25195974	25196793	26	362
10	16	25220674	25221131	22	233
10	18	25226065	25226779	38	376
10	25	25230423	25231622	78	899
10	16	25242097	25242982	28	738
10	63	25280498	25281094	100	255
10	11	25286660	25288263	46	486
10	20	25388501	25389447	43	665
10	16	25391296	25391912	35	228
10	32	26663946	26664921	79	612
10	26	26683050	26683557	37	271
10	15	26694431	26694997	23	306
10	15	26813839	26814984	52	417
10	23	26815059	26815939	59	240
10	79	26831582	26832357	116	534
10	16	26852769	26853920	40	428
10	13	26885790	26886649	25	444
10	44	27025781	27027535	157	565
10	12	27189563	27190374	34	138
10	13	27428845	27429952	35	410
10	16	27462704	27463617	33	469
10	12	27482688	27484684	58	716
10	15	27570660	27571641	41	405
10	99	27648440	27649696	159	452
10	11	27689464	27689754	12	143
10	12	27712700	27713427	24	510
10	20	27832861	27833427	32	293
10	146	27854442	27855904	228	550
10	11	28070833	28071424	18	383
10	25	28382415	28383632	61	998
10	14	28383692	28384554	33	336
10	135	28447500	28449800	236	1621
10	12	28453063	28453373	14	146
10	29	28459090	28460074	50	300
10	12	28506979	28508811	44	1523
10	11	28529695	28531364	48	269
10	11	28546394	28547108	21	531
10	11	28570549	28571119	20	165
10	11	28582951	28583879	27	615
10	14	28629088	28629327	15	92
10	13	28710317	28710689	17	193
10	14	28710766	28711132	16	219
10	75	28714813	28715853	131	431
10	17	28715857	28716510	30	307
10	14	28722735	28723402	23	281
10	13	28861014	28862385	40	772
10	11	28962718	28962971	12	106
10	13	29063662	29064456	34	421
10	11	29117501	29118114	20	226
10	22	29129538	29130063	30	365
10	15	29130692	29131198	22	244
10	65	29140700	29141823	135	490
10	14	29232045	29233494	48	1010
10	16	29313314	29313705	20	177
10	15	29392734	29394040	52	401
10	12	29434205	29435067	29	146
10	22	29449026	29449735	40	292
10	11	29461385	29462259	28	529
10	20	29469517	29471328	57	1395
10	17	29488874	29489853	39	294
10	30	29534349	29535681	59	538
10	18	29545994	29547096	61	471
10	11	29554369	29556121	36	834
10	12	30020291	30021010	28	242
10	15	30063934	30066683	64	894
10	14	30074905	30075813	37	425
10	28	30112197	30114251	82	1306
10	18	30133015	30133811	40	251
10	19	30136050	30136963	35	577
10	23	30141054	30141786	35	209
10	16	30187221	30187992	35	350
10	14	30191506	30192316	27	441
10	31	30194215	30195331	53	438
10	11	30204906	30205896	24	190
10	12	30326932	30327601	18	522
10	13	30677597	30678453	38	673
10	100	30688296	30689187	154	437
10	14	30721406	30721988	26	278
10	14	30742862	30743422	22	204
10	18	30751890	30752893	53	468
10	49	30760037	30760942	88	426
10	16	30761550	30763789	84	1190
10	15	30819912	30821431	40	365
10	17	30822361	30823583	43	933
10	17	30851570	30852047	24	220
10	99	30861476	30862323	158	205
10	20	30863236	30863963	33	353
10	15	30868998	30869835	40	350
10	93	30870843	30872248	191	556
10	15	30920080	30920802	25	244
10	15	30999901	31000839	29	184
10	44	31010995	31012019	80	572
10	13	31016256	31016995	28	542
10	15	31024442	31025257	34	515
10	15	31047839	31048276	19	190
10	70	31088021	31088957	104	506
10	55	31113469	31114409	97	281
10	30	31314455	31315530	61	644
10	13	31339959	31341048	35	542
10	16	31359548	31361774	66	1190
10	13	31363311	31363853	25	309
10	23	31730190	31730698	38	121
10	25	32074533	32074810	26	130
10	14	32225256	32226541	44	642
10	28	32269608	32270551	60	310
10	13	32287862	32288201	15	106
10	15	32333898	32334349	20	185
10	17	32394760	32395198	22	209
10	12	32402139	32402443	14	140
10	21	32467802	32469048	46	584
10	16	32534360	32535256	35	426
10	11	32536257	32536786	19	255
10	14	32547834	32548502	23	521
10	12	32572204	32572669	18	210
10	13	32585552	32585945	19	201
10	14	32626897	32627636	29	193
10	12	32674872	32676313	53	299
10	14	32696685	32697128	19	205
10	14	32979149	32979507	17	211
10	60	33258162	33259568	123	980
10	19	33279166	33280247	44	683
10	17	33309236	33310400	60	357
10	28	33313916	33315412	79	928
10	21	33333999	33335093	56	729
10	12	33337685	33338075	16	118
10	11	33361182	33361885	22	456
10	45	33385885	33386733	82	424
10	22	33395434	33396332	57	566
10	22	33462320	33463737	62	804
10	15	33484259	33485525	51	618
10	11	33485964	33486409	15	298
10	11	33522109	33522622	16	366
10	14	33602249	33602946	25	138
10	20	33619316	33620670	61	431
10	15	33654720	33655456	32	362
10	18	33664460	33665280	37	522
10	13	34539828	34539975	14	0
10	12	34610895	34611561	19	411
10	24	34617424	34618123	37	281
10	19	34648145	34649060	47	473
10	20	34717909	34718143	21	87
10	16	34755967	34756896	40	405
10	12	34762047	34763362	40	486
10	127	34857102	34858564	235	431
10	15	34885482	34885975	24	136
10	11	34941281	34942235	25	282
10	11	34966429	34966782	16	108
10	13	34967314	34967672	16	190
10	16	34995049	34995759	28	335
10	16	35025159	35025854	28	389
10	19	35027038	35028519	43	1052
10	46	35060078	35061150	75	817
10	36	35079764	35080582	49	575
10	47	35272946	35273389	80	205
10	11	35274948	35275371	22	146
10	51	35279672	35280932	110	965
10	19	35323494	35324002	31	330
10	15	35419067	35420000	31	556
10	24	35521238	35522289	45	710
10	93	35523716	35525535	215	1034
10	12	35547439	35548094	20	137
10	11	35661019	35661482	20	316
10	22	35874790	35876706	61	1192
10	12	35892161	35892669	17	251
10	11	35970949	35971549	25	141
10	15	36124013	36124935	43	318
10	22	36204504	36205720	46	799
10	11	36239052	36239570	19	342
10	12	36609292	36610411	33	837
10	11	36610713	36611082	14	175
10	15	36777603	36778831	41	844
10	13	37054417	37055107	23	194
10	13	37126766	37127048	14	135
10	17	37356438	37357314	38	260
10	11	37618949	37619410	15	262
10	494	37778286	37778721	497	115
10	12	38186377	38187623	37	190
10	13	38305033	38306522	49	731
10	12	38813706	38814233	22	146
10	15	38815508	38817523	75	969
10	11	38824093	38824400	14	160
10	11	38827480	38829105	54	323
10	12	38830597	38831574	32	583
10	11	38831576	38832189	19	104
10	13	38833569	38834779	33	718
10	12	38834851	38835272	22	101
10	26	38836297	38839974	163	1116
10	12	38843373	38843863	22	190
10	119	38843889	38844685	223	496
10	14	38846149	38847145	55	521
10	11	38847154	38849433	45	1531
10	22	38850023	38850267	23	97
10	12	38850267	38850799	18	125
10	17	38852591	38853532	35	651
10	47	38854156	38854965	71	460
10	20	38855401	38857968	82	1835
10	45	38909784	38912724	165	2373
10	29	38914730	38919893	291	2450
10	85	38919928	38923904	454	2217
10	12	38925888	38926567	31	345
10	14	38926572	38928989	61	474
10	11	39116698	39117624	29	278
10	14	39121981	39123207	44	251
10	12	39127515	39127788	13	126
10	11	39134020	39135042	27	262
10	21	39135631	39137451	67	555
10	20	39144636	39146260	60	1225
10	13	39147389	39151064	120	778
10	13	39159727	39161924	61	1844
10	15	39163337	39164502	44	292
10	13	39168576	39169050	18	327
10	16	39171415	39171851	26	167
10	11	39172232	39172778	18	208
10	13	39176517	39177899	36	250
10	12	39182710	39183199	17	289
10	12	39183861	39184346	23	183
10	32	39186146	39187343	85	562
10	24	41674802	41679816	303	4317
10	16	41679819	41680459	28	276
10	15	41681394	41682063	38	142
10	14	41682447	41682850	21	172
10	21	41683077	41683532	31	161
10	66	41683579	41686063	217	1353
10	14	41688693	41690981	89	1460
10	16	41693584	41694409	43	614
10	16	41694456	41697042	102	2149
10	30	41697044	41697835	64	496
10	298	41698242	41706110	1998	1659
10	194	41706132	41717438	2429	10613
10	166	41717652	41720890	837	1712
10	52	41721599	41722935	132	375
10	27	41722975	41723519	51	161
10	28	41723990	41725535	109	842
10	50	41726684	41728713	180	753
10	49	41738489	41738788	83	152
10	15	41845443	41846148	22	412
10	126	41846886	41852932	1496	4189
10	38	41854584	41854891	62	151
10	14	41857765	41858156	29	14
10	11	41862017	41862327	19	162
10	19	41916660	41917009	22	202
10	59	41917240	41920746	431	1065
10	12	41983427	41985407	73	1564
10	11	42019637	42019943	13	134
10	18	42116971	42117452	38	334
10	46	42119031	42120545	98	821
10	15	42122734	42123496	36	128
10	30	42125271	42125994	56	257
10	16	42126722	42129282	89	1259
10	18	42129362	42129794	29	285
10	18	42133026	42133799	37	401
10	18	42136940	42138369	89	715
10	16	42367502	42368827	53	839
10	15	42453231	42454567	67	859
10	16	42553580	42554070	21	130
10	20	42597700	42598897	54	463
10	12	42794669	42795227	20	306
10	11	42917960	42918528	16	417
10	13	43102561	43103280	25	280
10	14	43108218	43109041	30	610
10	47	43124402	43124866	56	180
10	13	43155825	43156612	23	457
10	23	43163922	43164308	28	175
10	12	43200002	43201006	32	449
10	91	43221070	43225933	285	1572
10	13	43236065	43237192	39	575
10	38	43241123	43241787	67	288
10	11	43251971	43252272	13	154
10	40	43270599	43271500	94	396
10	12	43486765	43487533	20	510
10	12	44790307	44790726	15	183
10	63	44793930	44794766	93	379
10	12	44796499	44797102	24	262
10	12	44823982	44824396	17	221
10	32	44920588	44921174	51	289
10	18	45191807	45192833	59	432
10	11	45218626	45218960	13	187
10	23	45226279	45226726	32	213
10	12	45241583	45242130	22	155
10	17	45409503	45411017	60	885
10	14	45487364	45488781	60	736
10	11	46371325	46371719	16	247
10	15	46382320	46382888	21	393
10	36	46403174	46404118	91	623
10	22	46423812	46424970	51	599
10	11	46442297	46444321	55	629
10	21	46469660	46470221	29	269
10	43	46475574	46479803	353	2382
10	12	46493778	46495218	49	580
10	22	46498198	46501870	159	727
10	18	46512539	46513919	54	1116
10	11	46528356	46528862	18	192
10	14	46562152	46563748	47	1091
10	14	47069504	47070175	26	477
10	14	47097248	47097724	24	133
10	16	47936900	47939394	72	973
10	13	47945822	47946545	23	576
10	34	47951972	47953335	73	321
10	13	47955499	47956862	43	746
10	12	47997763	47998175	17	265
10	19	48013999	48014577	37	211
10	15	48022396	48023160	28	134
10	22	48040072	48040625	35	356
10	11	48200650	48201118	20	321
10	15	49534300	49534612	17	144
10	14	49536245	49536703	21	187
10	15	49670617	49671376	40	213
10	15	50285554	50285995	19	246
10	14	50416265	50417946	65	804
10	29	50421082	50422238	64	449
10	143	50426326	50428511	268	1490
10	14	50428544	50429696	42	309
10	35	50429733	50431182	95	675
10	87	50445963	50448966	278	1630
10	14	50457314	50458044	28	583
10	16	50471142	50471641	24	96
10	15	51234687	51236104	52	323
10	19	51236701	51237407	30	404
10	43	51756547	51757922	93	195
10	11	51797303	51798126	27	390
10	14	51822945	51825614	100	718
10	15	51826712	51827585	28	140
10	13	51828056	51828526	21	323
10	23	51833841	51834682	43	568
10	13	51847091	51848804	54	1124
10	13	51849172	51850279	27	407
10	11	51850987	51851358	14	185
10	20	51940423	51942765	103	1422
10	14	51991476	51992078	27	209
10	17	52015484	52016793	39	971
10	13	52033625	52034998	38	1032
10	27	52035049	52035744	47	263
10	11	52044096	52044860	23	329
10	12	52051633	52053145	42	370
10	15	52053162	52056156	101	1092
10	12	52082803	52083398	20	231
10	11	52279816	52280149	14	127
10	16	52367307	52367959	21	134
10	11	52507528	52507675	12	0
10	11	52827478	52828016	15	180
10	13	53045864	53046013	14	2
10	11	53080764	53081242	17	145
10	49	53128990	53130509	127	686
10	15	53645313	53646380	31	376
10	12	53677798	53678209	14	121
10	11	53688128	53689102	30	571
10	18	53743244	53745663	81	1051
10	29	53748345	53749672	72	763
10	24	53849973	53850811	60	564
10	17	53852479	53853118	37	333
10	18	53870397	53870830	26	253
10	19	53872547	53874481	70	731
10	11	53880128	53881229	37	754
10	33	53881259	53882144	68	469
10	15	53916284	53916934	29	461
10	13	53918233	53919177	37	632
10	11	53955168	53956053	22	506
10	12	54314019	54314626	18	144
10	30	54357410	54357576	31	19
10	17	54539072	54539479	22	145
10	32	55266330	55266878	47	213
10	13	55273680	55274422	27	161
10	35	56015757	56015904	36	0
10	86	56415212	56416084	119	507
10	85	56593125	56594188	129	407
10	12	56947736	56948459	26	427
10	13	57176727	57177676	38	503
10	34	57180046	57180639	50	384
10	14	57790860	57791460	29	145
10	13	57980686	57981321	23	248
10	25	57984281	57985186	47	355
10	13	59086810	59087284	18	284
10	69	59214736	59216103	122	1128
10	17	59447012	59447912	35	540
10	13	59452744	59453880	40	889
10	11	59494806	59495416	21	350
10	28	59698270	59699871	72	1219
10	16	59710069	59711718	55	261
10	20	59721229	59721660	25	284
10	20	59735545	59736097	28	206
10	30	59764274	59765129	55	392
10	14	59780393	59780730	18	144
10	11	59814241	59816558	69	664
10	12	59864944	59865672	28	297
10	28	59865847	59866520	50	205
10	11	59867589	59869031	52	616
10	13	60070982	60071479	21	142
10	11	60670295	60670740	19	213
10	45	61294751	61295421	60	371
10	12	61334080	61336945	95	1127
10	15	61337669	61339104	57	584
10	16	61395020	61395779	25	251
10	13	61477592	61478204	19	465
10	31	61569321	61571607	122	823
10	13	61712650	61713692	36	693
10	82	61742993	61745034	194	1256
10	15	61814244	61814909	28	387
10	17	61844462	61844899	30	191
10	11	61864195	61864636	16	136
10	30	61885660	61886625	52	389
10	13	61902813	61904512	55	740
10	15	61904757	61905277	24	268
10	59	62132337	62135411	177	1920
10	31	62168352	62170079	114	987
10	11	62198247	62199092	31	376
10	13	62207747	62209022	40	380
10	11	62211209	62211771	23	139
10	81	62238378	62239648	128	713
10	18	62245510	62246876	69	963
10	91	62257353	62258523	160	609
10	22	62344065	62345313	50	580
10	13	62371730	62375036	119	1380
10	27	62393857	62394997	91	607
10	24	62407824	62409499	64	926
10	15	62494291	62496005	44	644
10	19	62496113	62498716	120	702
10	11	62539951	62540362	19	210
10	12	62570300	62571096	26	398
10	17	62603590	62603917	19	180
10	15	62700960	62701840	32	357
10	38	62713549	62714445	88	543
10	19	62868255	62869483	44	221
10	12	62894315	62895642	39	559
10	28	62904608	62905771	52	741
10	28	63037899	63038919	55	320
10	16	63041419	63042473	36	907
10	36	63057390	63059608	110	1415
10	186	63062576	63066579	449	3261
10	11	63099540	63100026	18	244
10	17	63163073	63163508	29	208
10	60	63175815	63177805	217	1537
10	36	63178685	63180107	90	432
10	13	63180503	63181111	23	301
10	14	63181573	63183416	64	449
10	48	63187342	63192390	392	3997
10	12	63211798	63212403	24	135
10	19	63214250	63216911	108	2380
10	19	63228371	63229114	37	329
10	11	63241789	63242142	15	144
10	16	63257143	63258307	35	331
10	13	63262586	63263099	24	286
10	26	63264823	63267865	143	2762
10	19	63327574	63331671	132	1402
10	12	63331680	63332513	30	666
10	15	63333345	63333732	19	145
10	26	63333778	63334888	78	840
10	175	63367333	63369989	428	667
10	325	63421612	63425049	531	1056
10	53	63434942	63435772	78	608
10	12	63453995	63454478	20	294
10	17	63454637	63455777	42	382
10	20	63466226	63467426	48	762
10	15	63473167	63473818	25	274
10	11	63480797	63481149	15	205
10	11	63493858	63494309	15	176
10	24	63525147	63525829	39	471
10	21	63538348	63539510	41	299
10	12	63673009	63673815	28	245
10	12	63674143	63675703	39	815
10	25	63769442	63770332	51	364
10	19	63813220	63814344	41	796
10	28	63862937	63863725	51	152
10	21	63937958	63938105	22	0
10	43	63938105	63938278	44	26
10	18	64164925	64165645	32	353
10	13	64233651	64234730	34	646
10	32	64543769	64544352	46	190
10	13	64545488	64546029	20	210
10	18	64562521	64563375	55	468
10	11	64596384	64596986	19	380
10	15	64646635	64647498	30	339
10	27	64650145	64650688	40	240
10	11	64665863	64666711	27	530
10	21	64698091	64699343	66	958
10	11	64859938	64861365	45	407
10	19	64867915	64869128	43	781
10	28	64921251	64922777	62	182
10	12	64950002	64951084	30	838
10	15	64978597	64979025	22	187
10	28	64983721	64984991	51	282
10	25	65002373	65003479	58	760
10	17	65058098	65061267	119	1220
10	27	65111374	65112766	57	948
10	17	65121875	65122773	32	250
10	17	65129140	65131060	96	1697
10	11	65132797	65133299	16	141
10	29	65136724	65137671	58	507
10	13	65140561	65141338	30	411
10	45	65141504	65142568	85	547
10	11	65149649	65150558	25	311
10	31	65296095	65296884	51	208
10	12	68176994	68177697	23	328
10	59	68253572	68254595	94	609
10	56	68465047	68465194	57	0
10	11	68476011	68476867	23	188
10	11	68707454	68707774	14	146
10	29	69193006	69194462	72	1264
10	38	69220687	69221441	63	235
10	93	69245156	69246371	263	389
10	13	69247952	69248491	21	303
10	21	69249423	69250142	38	311
10	19	69267311	69268248	30	526
10	71	69278859	69279989	127	325
10	16	69313430	69314643	42	764
10	21	69503183	69505763	128	763
10	27	69512436	69513285	49	300
10	11	69515681	69516581	29	332
10	47	69516599	69518910	171	698
10	742	69522113	69525596	1175	1558
10	39	69526494	69527710	95	574
10	11	69530145	69531052	35	283
10	33	69532697	69533508	69	373
10	25	69534778	69537237	115	978
10	16	69538447	69541228	105	773
10	21	69564867	69566700	123	941
10	74	69582929	69584308	168	533
10	15	69585647	69586617	35	659
10	18	69637959	69638909	33	452
10	12	69757899	69758489	31	205
10	24	69761013	69762855	77	821
10	12	69900920	69901944	36	631
10	19	69956456	69957722	54	684
10	11	69980557	69980996	17	144
10	30	70054888	70055893	66	404
10	12	70061084	70062009	29	278
10	18	70150524	70151425	38	313
10	52	70240106	70241598	167	1018
10	11	70256740	70257525	29	234
10	13	70300897	70302049	39	327
10	20	70385074	70386531	81	643
10	74	70386616	70387754	124	314
10	12	70418087	70418853	36	366
10	11	70490960	70491893	29	392
10	15	70522839	70523531	28	443
10	13	70552912	70555506	81	750
10	21	70609227	70610438	66	635
10	16	70643150	70644640	53	477
10	19	70646560	70647386	37	541
10	34	70651917	70653023	92	645
10	11	70654993	70656058	29	172
10	17	70661988	70662776	33	333
10	19	70667102	70667786	32	378
10	52	70747843	70749555	116	1482
10	22	70754123	70754868	41	454
10	36	70801511	70802691	60	587
10	19	70819687	70820242	27	408
10	36	70821814	70822868	58	627
10	14	70856899	70857361	22	154
10	23	70868065	70869512	82	1205
10	21	70875308	70877382	86	1206
10	23	70879329	70880187	62	482
10	622	70880565	70884280	918	3226
10	227	70885283	70889338	522	1484
10	18	70894347	70895304	41	394
10	15	70937221	70937895	28	485
10	16	70945452	70945960	22	122
10	12	71068876	71069464	23	298
10	18	71157705	71159111	61	461
10	13	71356979	71357551	18	220
10	11	71388068	71388352	12	137
10	13	71561340	71563158	44	1328
10	19	71575204	71577753	96	1172
10	11	71598594	71600718	59	1846
10	17	71603689	71604805	39	270
10	46	71621627	71622710	91	257
10	12	71651230	71651712	21	186
10	37	71661482	71663860	213	1149
10	12	71694809	71695496	22	108
10	304	71696523	71698374	446	845
10	15	71702477	71703128	31	307
10	13	71726237	71726879	23	196
10	12	71761206	71762139	36	349
10	30	71793890	71794582	50	468
10	31	71807464	71808403	48	538
10	14	71809044	71809963	24	463
10	46	71816815	71817785	95	725
10	14	71833165	71833966	30	513
10	23	72097016	72097546	39	312
10	18	72200851	72201045	19	47
10	11	72245402	72245960	23	320
10	16	72246029	72246539	27	354
10	41	72337694	72338529	68	295
10	13	72431101	72431560	20	238
10	21	72638701	72639253	30	274
10	18	72642014	72642955	41	135
10	39	72652095	72653818	83	631
10	25	72673486	72674900	92	681
10	11	72676090	72677470	47	122
10	19	72685641	72686598	49	281
10	12	72689480	72691018	58	799
10	13	72748710	72749674	46	127
10	24	72752991	72753572	28	292
10	21	72769651	72770596	50	373
10	18	72806663	72807647	52	525
10	12	73077882	73079083	29	956
10	14	73123015	73123697	31	273
10	20	73158952	73159547	38	347
10	25	73169541	73170600	52	494
